"","day_to_inflection","time_dependent_coefficient","NonMSM","MSM","Nt_p","Risk_posterior","country","iso3","time"
"325",0,0,0,0,0,0,"Venezuela (Bolivarian Republic of)","VEN",19121
"326",0,0,0,0,0,0,"Viet Nam","VNM",19121
"327",0,0,0,0,0,0,"South Africa","ZAF",19121
"328",0,0,0,0,0,0,"Aruba","ABW",19122
"329",0,0,0,0,0,0,"Andorra","AND",19122
"330",0,0,0,0,0,0,"United Arab Emirates","ARE",19122
"331",0.333911991097108,0.248834873690729,0,0,0,0.0874120297181755,"Argentina","ARG",19122
"332",0.883848384881532,0.514324619311814,0,0,0,0.209725950629002,"Australia","AUS",19122
"333",0.859776409110119,0.509551574171116,0,0,0,0.205399197492185,"Austria","AUT",19122
"334",0.870432642643914,0.772672709762906,0,0,0,0.246465802861023,"Belgium","BEL",19122
"335",0,0,0,0,0,0,"Benin","BEN",19122
"336",0,0,0,0,0,0,"Bulgaria","BGR",19122
"337",0,0,0,0,0,0,"Bahrain","BHR",19122
"338",0,0,0,0,0,0,"Bahamas","BHS",19122
"339",0,0,0,0,0,0,"Bosnia and Herzegovina","BIH",19122
"340",0,0,0,0,0,0,"Bermuda","BMU",19122
"341",0.473690501087687,0.152445468278912,0,0,0,0.0939203954049899,"Bolivia (Plurinational State of)","BOL",19122
"342",0.769711745199359,0.650661787860409,0,0,0,0.213056029958965,"Brazil","BRA",19122
"343",0,0,0,0,0,0,"Barbados","BRB",19122
"344",0,0,0,0,0,0,"Central African Republic","CAF",19122
"345",0.882232456019727,0.406786411686819,0,0,0,0.193352830155982,"Canada","CAN",19122
"346",0.849171764283166,0.669434942489003,0,0,0,0.227791006015825,"Switzerland","CHE",19122
"347",0.709859618118949,0.391270023890816,0,0,0,0.165169446301465,"Chile","CHL",19122
"348",0,0,0,0,0,0,"China","CHN",19122
"349",0,0,0,0,0,0,"Cameroon","CMR",19122
"350",0,0,0,0,0,0,"Democratic Republic of the Congo","COD",19122
"351",0,0,0,0,0,0,"Congo","COG",19122
"352",0.185386976279548,0.214519114544021,0,0,0,0.0599859136235353,"Colombia","COL",19122
"353",0,0,0,0,0,0,"Costa Rica","CRI",19122
"354",0,0,0,0,0,0,"Cuba","CUB",19122
"355",0,0,0,0,0,0,"Cura鑾絘o","CUW",19122
"356",0,0,0,0,0,0,"Cyprus","CYP",19122
"357",0.895778586965719,0.280844024257025,0,0,0,0.176493391683412,"Czechia","CZE",19122
"358",0.858608226561652,0.929691038616882,0,0,0,0.26824488977678,"Germany","DEU",19122
"359",0.864262294710048,0.550479516134398,0,0,0,0.212211271626667,"Denmark","DNK",19122
"360",0,0,0,0,0,0,"Dominican Republic","DOM",19122
"361",0,0.159387802363854,0,0,0,0.023908170354578,"Ecuador","ECU",19122
"362",0,0,0,0,0,0,"Egypt","EGY",19122
"363",0.864415030393952,0.734070017452353,0,0,0,0.239772757176946,"Spain","ESP",19122
"364",0,0,0,0,0,0,"Estonia","EST",19122
"365",0,0,0,0,0,0,"Finland","FIN",19122
"366",0.857428973820682,0.85686541819695,0,0,0,0.257144158802645,"France","FRA",19122
"367",0.865631904181058,0.96038437222147,0,1,1,0.873902441460379,"The United Kingdom","GBR",19122
"368",0,0,0,0,0,0,"Georgia","GEO",19122
"369",0,0,0,0,0,0,"Ghana","GHA",19122
"370",0,0,0,0,0,0,"Gibraltar","GIB",19122
"371",0,0,0,0,0,0,"Guadeloupe","GLP",19122
"372",0.879186798217549,0.40938673727099,0,0,0,0.193286030323281,"Greece","GRC",19122
"373",0,0,0,0,0,0,"Greenland","GRL",19122
"374",1,0,0,0,0,0.15,"Guatemala","GTM",19122
"375",0,0,0,0,0,0,"Guam","GUM",19122
"376",0,0,0,0,0,0,"Guyana","GUY",19122
"377",0,0,0,0,0,0,"Honduras","HND",19122
"378",0,0,0,0,0,0,"Croatia","HRV",19122
"379",0.888334038115134,0.534350654224826,0,0,0,0.213402703850994,"Hungary","HUN",19122
"380",0,0,0,0,0,0,"Indonesia","IDN",19122
"381",0,0,0,0,0,0,"India","IND",19122
"382",0.844874272913969,0.520542307968612,0,0,0,0.204812487132387,"Ireland","IRL",19122
"383",0,0,0,0,0,0,"Iran (Islamic Republic of)","IRN",19122
"384",0,0,0,0,0,0,"Iceland","ISL",19122
"385",0.866627214579228,0.596924147385669,0,0,0,0.219532704294735,"Israel","ISR",19122
"386",0.851967726263234,0.69272064909385,0,0,0,0.231703256303563,"Italy","ITA",19122
"387",0,0,0,0,0,0,"Jamaica","JAM",19122
"388",0,0,0,0,0,0,"Jordan","JOR",19122
"389",0,0,0,0,0,0,"Japan","JPN",19122
"390",0,0,0,0,0,0,"Republic of Korea","KOR",19122
"391",0,0,0,0,0,0,"Lebanon","LBN",19122
"392",0,0,0,0,0,0,"Liberia","LBR",19122
"393",0,0,0,0,0,0,"Lithuania","LTU",19122
